address,group,name,fields_address,fields_count,fields
0x1801C4890,default,IsShowRevisionsAndComments,0x1801C4850,1,value:string
0x180130088,default,IsShowUpdateDlg,0x180130070,1,value:string
0x18016ACE0,default,isShowViewDirectoryButton,0x18016ACC8,1,support:bool
0x18017CDE8,default,IsShowWindowsInTaskbar,0x18017CDD0,1,value:string
0x18013C060,default,IsStartPageNavOverseaMode,0x18013C048,1,support:bool
0x18013E220,default,IsStartPageNavProfessionalMode,0x18013E1D0,1,support:bool
0x1801437F0,default,isSupportCollabEscapeMode,0x1801437B8,1,support:bool
0x1801B6010,default,isSupportSaveSuccessGuideTips,0x1801B5FD0,1,support:bool
0x1801B1820,default,isSupportWpsDocsPrint,0x1801B17E8,1,support:bool
0x1801B8650,default,isSupportWpsDocsPrintByReadOem,0x1801B8610,1,support:bool
0x1801CDE30,default,isVbaSlientInstall,0x1801CDDE0,1,support:bool
0x18019A148,default,isWpsInsertFileVisible,0x18019A130,1,support:bool
